Borough,Start_Time,End_Time,Student_Enrollment,Percent_White,Percent_Black,Percent_Hispanic,Percent_Asian,Average_SAT_Math,Male_Percent,Disabilities_Percent,EngLearner_Percent,Poverty_Percent,Parent_Response_Rate,Teacher_Response_Rate,Instructional_Core_Satisfaction,Systems_for_Improvement_Satisfaction,School_Culture_Satisfaction,Class_Hours,weighted
Manhattan,182.683365788951,358.642190505915,38890.2625329852,75.2453085882281,58.1729895639873,64.9122625658763,81.8881499315127,145.422325481221,1087.13413997106,85.1775202451548,-36.0757711499146,632.106860766675,1232.83252986408,1972.53204778253,1770.79581562296,1658.72013108986,1882.87150015605,173.717311026303,22.4151369066197
Manhattan,179.321095252958,323.898728300655,8024.61901256985,55.3227888971003,81.8881499315127,83.4578506856325,40.1625338064791,134.017542969298,1102.82473580569,582.793559572112,32.6950554278619,1539.91990548477,672.454107198591,2241.51369066197,2151.85314303549,2151.85314303549,2129.43800612887,151.302174119683,22.4151369066197
Manhattan,186.045636324943,336.227053599295,8584.99743523534,26.0721846448399,74.9307050111214,90.6255476889938,48.4911817934237,135.286142607404,672.454107198591,672.454107198591,32.6950554278619,2241.51369066197,582.793559572112,2241.51369066197,1927.70177396929,1994.94718468915,1950.11691087591,145.698389893028,22.4151369066197
Manhattan,179.321095252958,344.072351516612,9324.69695315379,13.1753185656664,26.0721846448399,38.6160491465183,100.613398751578,143.868528755658,1051.26992092046,42.5887601225774,70.954556578571,1988.22264361717,537.963285758873,1569.05958346338,1815.6260894362,1569.05958346338,1950.11691087591,169.981454875199,22.4151369066197
Manhattan,186.045636324943,342.951594671281,5715.85991118802,31.0739778973772,71.6986958494226,90.5072617316143,58.0050851316557,134.852986386379,1398.70454297307,728.49194946514,55.5119472931343,1994.94718468915,896.605476264788,1815.6260894362,1860.45636324943,1793.21095252958,1815.6260894362,156.905958346338,22.4151369066197
Manhattan,201.736232159577,347.434622052605,12216.2496141077,85.5252262035,63.898976511797,65.7628034017985,63.7690333252391,144.623560641923,901.088503646112,24.6566505972817,-51.6127600986032,784.529791731689,1075.92657151775,1793.21095252958,1972.53204778253,1994.94718468915,2084.60773231563,153.170102195235,22.4151369066197
Manhattan,186.493939063076,346.313865207274,7374.58004227788,23.0790601978296,83.7803762055347,87.3725019283151,39.7857999484116,133.674447440697,939.194236387365,421.40457384445,27.4310938427673,1847.00728110546,425.887601225774,2241.51369066197,1748.38067871634,1703.5504049031,1793.21095252958,161.762571342772,22.4151369066197
Manhattan,179.321095252958,342.951594671281,8136.69469710295,21.417919856132,82.6867379959804,88.2638773059715,39.7857999484116,136.333769572119,970.575428056633,636.589888147999,49.7437499187401,1927.70177396929,179.321095252958,1815.6260894362,1434.56876202366,1300.07794058394,1456.98389893028,168.113526799648,22.4151369066197
Manhattan,182.683365788951,339.589324135288,6814.20161961239,27.4310938427673,72.2410240031199,83.3493025950203,76.2383049563936,136.282534951169,1394.22151559174,493.133011945633,66.5822469151484,2006.15475314246,941.435750078027,2241.51369066197,2107.02286922225,2062.19259540901,2062.19259540901,156.905958346338,22.4151369066197
Manhattan,188.287150015605,326.364393360383,9885.07537581929,31.0739778973772,76.9008695554336,90.6255476889938,40.1625338064791,133.208661602039,762.11465482507,594.001128025422,38.212161878823,2241.51369066197,201.736232159577,1770.79581562296,1927.70177396929,1793.21095252958,1927.70177396929,140.468191281483,22.4151369066197
Manhattan,201.736232159577,339.589324135288,9481.60291150013,15.5369889486886,74.8513593109003,85.5745444564135,58.832305827842,135.920575625068,885.397907811478,260.015588116788,5.88093090744339,1813.38457574553,1524.22930965014,2241.51369066197,2039.77745850239,1972.53204778253,1994.94718468915,140.094605666373,22.4151369066197
